epoch,loss,accuracy,precision,recall,specificity,f1,iou,lr
1,0.4066971259415519,0.827628700300368,0.7455250575603015,0.5641141213485891,0.9219811325788941,0.60779398882847,0.44403256298662563,0.001
2,0.3431076886965587,0.8456552078880489,0.8067040039039456,0.5083954577995499,0.9634498331183394,0.6105169188208148,0.44347191536441316,0.001
3,0.3422812479542386,0.8474909932049086,0.8247879990728519,0.4969609963443347,0.968556137333129,0.6092158679145272,0.4416946236972029,0.001
4,0.31937580776332775,0.8548691783843578,0.8252950093929357,0.532902718698225,0.9666244481428258,0.637351095861071,0.47160024071271534,0.001
5,0.3108238607940473,0.8591263309730474,0.8285504145250001,0.5498603779956458,0.966167996068574,0.6508855925321283,0.4863662122387573,0.001
6,0.3037624800810879,0.8645590749076456,0.8346087102036198,0.5676008531964549,0.966711627358693,0.667288882877156,0.5043526090579996,0.001
7,0.3098959649879545,0.8585383533840582,0.8335785412286146,0.5327420866917796,0.9680123148945332,0.6420372375546778,0.4765233969156627,0.001
8,0.2970957600752808,0.8651969370788801,0.8385921819354817,0.5587749009238743,0.9677901237722961,0.6630367432089691,0.49992712035941367,0.001
9,0.2863207514105824,0.8711784837266622,0.8465478191662308,0.5777088787771364,0.9682149416599722,0.6803468253089593,0.51949025862279,0.001
10,0.28357574842233196,0.8726348051203523,0.8480750793196454,0.5829479853164455,0.967949244908093,0.6848061937086348,0.5246286518511719,0.001
11,0.279762009022552,0.8779069088500967,0.8540574724530937,0.5992481615832895,0.9684613636582905,0.6986289423933112,0.5413993376005981,0.001
12,0.2746007959491111,0.878359379747691,0.8525886551893629,0.6062073675082371,0.9678976331206207,0.7013579077437021,0.5451015891897338,0.001
13,0.26381771020877465,0.8817712033105163,0.8593096461659471,0.6104702880834558,0.9690979378669531,0.7087026990700832,0.5530623515151543,0.001
14,0.26057818399042887,0.8853276986467203,0.8596993339475351,0.6252691771608894,0.9682592568639782,0.7185914662321556,0.5658878357954037,0.001
15,0.2631081574062137,0.885683905384059,0.8604483916118391,0.6296209029142446,0.9686006220447677,0.7210591478640263,0.5687078592797933,0.001
16,0.254685764400637,0.8885766761158184,0.8621864035227041,0.6385950861219433,0.9684296672819863,0.7284570992214529,0.5776090459457265,0.001
17,0.25260282264470757,0.885962059580556,0.8631641430113247,0.6242816788334828,0.9695186377162531,0.719060199115947,0.5661517267924406,0.001
18,0.25149023599341014,0.8875341281719515,0.8651663819431815,0.6302251110806637,0.9695089754118795,0.7238745916140863,0.5722116642208052,0.001
19,0.2429852326674089,0.8943469156563061,0.8672811925928241,0.6590516314999912,0.9687236364298446,0.7440116671750684,0.5971219748295521,0.001
20,0.24189360653046782,0.8948601657868613,0.86828577064227,0.6613231514023139,0.9689594798962571,0.7458526067795807,0.5994460660654963,0.001
21,0.23696128136791114,0.8968605206358389,0.8689201955384629,0.6687279020469575,0.968568742127519,0.7516195948756169,0.606792522998252,0.001
22,0.23925148615385078,0.8951755679377541,0.8709751295925221,0.6622814241395121,0.9695998149585842,0.7470331754087663,0.6009120133138796,0.001
23,0.2329767644590014,0.8982652061638483,0.8744665243959486,0.6698593172294351,0.9700337584133928,0.7539595741838623,0.6099584851566301,0.001
24,0.22887018425424746,0.8992709504922822,0.8755781121708942,0.6732591614034835,0.97029552554257,0.7569174193021238,0.6135163046096485,0.001
25,0.22733289965392636,0.9000618200763008,0.8752988568025893,0.6761529155010922,0.97042899814237,0.7590433198870927,0.6159814983200111,0.001
26,0.22317574217527772,0.9018514233894065,0.8778796674224376,0.684332226768893,0.970514100280393,0.7648374140262604,0.6235702695530438,0.001
27,0.2127487094705876,0.9070138362555994,0.8805397946152103,0.7016273572985567,0.970800753124289,0.7774105468647188,0.6405092482230034,0.001
28,0.21280631609491846,0.9069139416776182,0.8811521482881265,0.701439114714496,0.9707247190906804,0.7771993491433958,0.639977549531646,0.001
29,0.2081339513557551,0.9073167568098066,0.8824570663504145,0.7022840597446376,0.9715316328121975,0.7786939371621889,0.6416459497539823,0.001
30,0.20633238137617727,0.9090655263619499,0.8850176536017634,0.7088850929760726,0.9715652239810135,0.7840631796229433,0.6487772872826129,0.001
31,0.2056150200235504,0.9101502219540479,0.8838916231856174,0.7140585308181309,0.9715572125849671,0.7865434701114782,0.6525839527669597,0.001
32,0.19603227551615668,0.9114672750640831,0.8879182239373525,0.7171964819324947,0.9722457188360457,0.7910395074067949,0.6575185557206472,0.001
33,0.1910541366504175,0.9142484158979177,0.8909055588413791,0.7253385451720402,0.9730617681695921,0.7973873891499553,0.6662771632754079,0.001
34,0.19227494815505275,0.9135815296622162,0.8926256291632907,0.7223907666283174,0.9735565568877862,0.7959508625548125,0.6642725863568992,0.001
35,0.18475916986313304,0.9179608131282244,0.8937755312396691,0.7370561863927002,0.9736186252650718,0.8055427818936486,0.6780334892030689,0.001
36,0.17738663175292174,0.9207909583602253,0.8967462700908216,0.748415446783678,0.9738780263779037,0.8137384112070336,0.6892441907041282,0.001
37,0.17088623475075654,0.9257136726615744,0.9006568707498033,0.7641862026303822,0.9747617477377994,0.824968539649226,0.7053249860193945,0.001
38,0.16614480661932274,0.9266978025140963,0.9041006330959268,0.7646199760236114,0.9758031855728546,0.8267314302581541,0.7078257127765386,0.001
39,0.16209069575740503,0.9277029331436535,0.907461258336957,0.7681082891856575,0.9765314327592153,0.8305779016741738,0.7129370115577363,0.001
40,0.1571046808062876,0.9292253188631939,0.9095286840695284,0.7748053537720937,0.9767371169401072,0.8354039706262071,0.7198007024796922,0.001
41,0.16188896145519271,0.9282289283278559,0.9067458638914456,0.7713870711190698,0.9764634030311377,0.8317625485683758,0.7154001807043839,0.001
42,0.1570881493712742,0.9314549484069758,0.9072233171489602,0.785044782334544,0.9757819398776011,0.840263458802059,0.7273359789502665,0.001
43,0.14208052916708488,0.9373659197578053,0.9178513215376986,0.8028848446730197,0.9783441701343069,0.8556917987791579,0.749923764920737,0.001
44,0.1388405832050015,0.9384987814423468,0.9199845317423417,0.805619571805739,0.9788647318418141,0.8581801403263096,0.7537608968724105,0.001
45,0.13728388108063808,0.9390683463662678,0.9203545530932543,0.8072955961416497,0.9791302980838951,0.8591453507634934,0.7553864748873823,0.001
46,0.1395204821289915,0.9382727828610785,0.9182016161146955,0.8063533834217501,0.9784187635376846,0.857594565905012,0.7530922778181575,0.001
47,0.14338152612821467,0.93648830133743,0.9180326185188034,0.8009115179822939,0.978269256328266,0.8541097149825303,0.7478017464667891,0.001
48,0.12949895864304115,0.9410767657162975,0.9260531617363146,0.8126561868441888,0.980364862206257,0.8651451565223703,0.7639540674665751,0.001
49,0.12660167130838984,0.9423235535917082,0.9273760634874914,0.8161092965576285,0.9808063521851985,0.8675857822986636,0.7678287998303457,0.001
50,0.1282952082293775,0.9411610127086237,0.9262668897006592,0.8113201830762322,0.9807470024296785,0.8642703558432568,0.7628193556006808,0.001
